sample,pop,leaf_length,leaf_width,upper_leaf_angle,leaf_angle_boxcox_transformed
Z001E0174,1,639.9446,102.7452,71.301,13892533.6
Z001E0175,1,654.6311,88.4226,56.7219,5327171.944
Z001E0176,1,671.6929,99.5314,68.4619,11717544.19
Z001E0177,1,715.3369,90.8348,61.5866,7520366.628
Z001E0178,1,687.8718,92.736,66.5173,10384791.46
Z001E0180,1,626.9156,90.6093,62.8028,8162558.416
Z001E0181,1,730.0384,113.7876,65.7581,9897092.774
Z001E0182,1,840.4391,85.6576,75.205,17369666.88
Z001E0183,1,683.656,100.5196,68.727,11908848.32
Z001E0184,1,773.6966,99.5531,65.4548,9707212.585
Z001E0185,1,753.3512,87.3528,63.7767,8706231.946
Z001E0186,1,754.7518,87.8833,69.43,12427677.12
Z001E0187,1,574.6389,111.5671,64.2864,9001530.603
Z001E0188,1,719.1016,93.9609,64.6044,9189590.066
Z001E0189,1,622.1993,102.1309,59.5156,6516139.548
Z001E0190,1,598.6342,118.5193,66.9855,10694543.07
Z001E0191,1,720.6804,90.1013,70.4139,13182502.59
Z001E0192,1,708.1495,82.8892,63.7535,8692968.717
Z001E0193,1,608.3842,95.4078,68.3262,11620529.1
Z001E0194,1,592.5042,86.9208,58.1859,5927488.356
Z001E0195,1,771.8565,98.6216,55.1065,4719729.11
Z001E0196,1,772.3623,96.3158,65.6953,9857546.869
Z001E0197,1,774.9881,89.9104,65.9166,9997439.293
Z001E0198,1,737.7283,97.6124,65.6915,9855157.831
Z001E0199,1,738.743,84.0215,65.4259,9689265.657
Z002E0001,2,714.3454,93.4012,69.8502,12745902.6
Z002E0002,2,740.5804,90.4428,59.7228,6611728.059
Z002E0003,2,708.0146,90.7917,59.9021,6695303.685
Z002E0004,2,728.5258,89.9966,63.7462,8688798.556
Z002E0005,2,685.2316,82.3415,62.6232,8065190.193
Z002E0006,2,737.1275,92.1145,60.9073,7178849.302
Z002E0007,2,757.0826,97.6015,48.3029,2717113.426
Z002E0008,2,748.5981,114.1404,66.0271,10067853.87
Z002E0009,2,808.4829,89.759,68.2608,11573992.1
Z002E0010,2,664.8242,94.8468,68.4447,11705213.51
Z002E0011,2,728.2469,100.1813,67.5911,11105571.33
Z002E0012,2,687.8226,118.8622,69.6955,12628032.44
Z002E0013,2,703.9758,84.3638,63.9778,8821845.657
Z002E0014,2,648.4149,92.3079,59.2623,6400717.011
Z002E0015,2,723.3532,87.8368,68.992,12102447.66
Z002E0016,2,722.1501,92.5585,64.5419,9152394.691
Z002E0017,2,753.1788,98.0208,72.3974,14809896.93
Z002E0018,2,680.6771,82.5409,53.8237,4276153.847
Z002E0019,2,772.2138,93.5561,65.567,9777128.879
Z002E0020,2,705.943,88.5135,68.9982,12107005.65
Z002E0021,2,727.6094,99.5615,72.514,14910101.69
Z002E0022,2,778.8766,106.4957,64.8459,9334395.646
Z002E0023,2,712.7933,92.9658,64.0167,8844343.77
Z002E0025,2,707.5326,92.9477,73.5739,15844827.75
Z002E0026,2,715.7822,97.554,61.9198,7692335.393
Z002E0027,2,775.5044,100.1445,76.3296,18484312.36
Z002E0028,2,800.2636,100.4828,63.5419,8572707.649
Z002E0029,2,679.3857,91.1202,72.1391,14589743.05
Z002E0030,2,697.2065,100.0353,51.6714,3604020.787
Z002E0031,2,753.6012,97.5844,66.8892,10630265.89
Z002E0032,2,759.5859,99.5248,64.5752,9172198.092
Z002E0033,2,741.9337,97.519,72.3144,14738880.64
Z002E0034,2,729.5922,89.6474,69.161,12227158.15
Z002E0035,2,723.9504,116.7614,67.5219,11058005.69
Z002E0036,2,813.4979,87.5105,69.4442,12438331.25
Z002E0037,2,693.8872,100.1975,65.6029,9799580.355
Z002E0038,2,760.2331,112.7633,61.8739,7668469.762
Z002E0039,2,724.5229,87.5052,59.4045,6465320.634
Z002E0040,2,707.025,92.9704,76.3487,18503701.66
Z002E0041,2,659.4172,99.6221,59.4313,6477551.668
Z002E0042,2,628.5326,84.8538,62.2307,7855479.621
Z002E0043,2,788.2977,94.2448,60.8083,7130080.773
Z002E0044,2,679.249,98.9303,64.8732,9350873.593
Z002E0045,2,664.1894,97.2943,70.7643,13459576.04
Z002E0046,2,691.3883,87.5388,48.1481,2680811.469
Z002E0047,2,795.1523,95.767,72.1568,14604749.06
Z002E0048,2,718.0907,80.459,62.1917,7834871.254
Z002E0049,2,749.4704,96.148,61.3031,7376367.12
Z002E0050,2,745.8129,93.6679,59.154,6351845.299
Z002E0051,2,706.5394,78.6695,68.6754,11871427.18
Z002E0052,2,728.8241,94.2267,67.6709,11160616.25
Z002E0053,2,825.4649,95.192,73.8442,16090185.28
Z002E0054,2,689.6391,98.141,64.2043,8953457.657
Z002E0055,2,695.4982,99.3453,59.9428,6714386.325
Z002E0056,2,699.9679,87.9396,62.0454,7757930.051
Z002E0057,2,683.6184,91.9306,64.8909,9361568.925
Z002E0058,2,760.5062,94.3378,61.2641,7356723.159
Z002E0059,2,700.3867,87.7978,61.3211,7385447.022
Z002E0060,2,,,62.7822,8151345.143
Z002E0061,2,720.2916,105.5875,67.3315,10927931.73
Z002E0062,2,710.397,104.4372,62.1577,7816938.593
Z002E0063,2,777.1748,80.6129,59.4658,6493322.77
Z002E0064,2,722.5547,101.4362,64.4417,9093002.38
